Title,Address,Latitude,Longitude,Original_URL
"Lars Carlson, OD","6900 U.S. #118, East US Highway 60, 6900 US-60 # 118, Gold Canyon, AZ 85118, United States",33.3612785,-111.4704971,"https://www.google.com/maps/place/Lars+Carlson,+OD/data=!4m2!3m1!1s0x872bb5f6116fff43:0x9a79ac86bf2221f0"
Buena Vista Eye Care,"Tucson, AZ 85756, United States",32.1337063,-110.9318224,https://www.google.com/maps/place/Buena+Vista+Eye+Care/data=!4m2!3m1!1s0x86d67b1993a993d9:0xd90e9c3422d29ad7
Tucson Optometry Clinic - East,"7402 E Broadway Blvd, Tucson, AZ 85710, United States",32.2206018,-110.8341759,https://www.google.com/maps/place/Tucson+Optometry+Clinic+-+East/data=!4m2!3m1!1s0x86d66f4db3a9f3eb:0x38b03035b7723697
"Amro N. Habib, OD","4340 W Ina Rd, Tucson, AZ 85741, United States",32.3380141,-111.0588018,"https://www.google.com/maps/place/Amro+N.+Habib,+OD/data=!4m2!3m1!1s0x86d60b0a4e35a8d3:0xb80da7c3bdc4b04e"
Eye Doctors of Arizona - North Phoenix,"3321 E Bell Rd B-12, Phoenix, AZ 85032, United States",33.6392532,-112.0106559,https://www.google.com/maps/place/Eye+Doctors+of+Arizona+-+North+Phoenix/data=!4m2!3m1!1s0x872b719a652a41c7:0x11380d655ede77d3
JL Patisserie,"7342 E Shea Blvd #108, Scottsdale, AZ 85260, United States",33.5840249,-111.9233465,https://www.google.com/maps/place/JL+Patisserie/data=!4m2!3m1!1s0x872b75d77262aed9:0x2bdf4ec49854c157
Eye Care North,"6615 N Oracle Rd, Tucson, AZ 85704, United States",32.327131,-110.976398,https://www.google.com/maps/place/Eye+Care+North/data=!4m2!3m1!1s0x872b7a52501b2821:0x84e5308fe10abd08
Petelin Vision Peoria,"7727 W Deer Valley Rd # E200, Peoria, AZ 85382, United States",33.6804778,-112.2254712,https://www.google.com/maps/place/Petelin+Vision+Peoria/data=!4m2!3m1!1s0x872b67e546ab2ddd:0xfe97735f2af5bb19
Queen Creek Eye Care,"20715 E Ocotillo Rd STE 101, Queen Creek, AZ 85142, United States",33.2478202,-111.6363196,https://www.google.com/maps/place/Queen+Creek+Eye+Care/data=!4m2!3m1!1s0x872a4d3de193ba11:0xfd8d2cefaa644d24
"Crystal Optical: Dina Hamideh, OD","401 E Bell Rd UNIT 24, Phoenix, AZ 85022, United States",33.6384802,-112.0683135,"https://www.google.com/maps/place/Crystal+Optical:+Dina+Hamideh,+OD/data=!4m2!3m1!1s0x872b6e3e4555f669:0x6c7aca5d2c6f5084"
Doctor My Eyes,"2233 E Speedway Blvd, Tucson, AZ 85719, United States",32.236409,-110.9384056,https://www.google.com/maps/place/Doctor+My+Eyes/data=!4m2!3m1!1s0x872b74ed18e8e8bd:0x14d8331d2adbf86c
Now Eye See Vision Care,"7125 S Val Vista Dr Suite 101, Gilbert, AZ 85298, United States",33.2209187,-111.7537327,https://www.google.com/maps/place/Now+Eye+See+Vision+Care/data=!4m2!3m1!1s0x872a538da5387d91:0x4225fb6ecb8400e6
San Tan Eye Care,"2680 S Val Vista Dr, Gilbert, AZ 85295, United States",33.3014794,-111.756796,https://www.google.com/maps/place/San+Tan+Eye+Care/data=!4m2!3m1!1s0x872bac77217729e1:0xe2e935f69334730
Val Vista Vision,"1780 E Boston St #101, Gilbert, AZ 85295, United States",33.3039336,-111.751502,https://www.google.com/maps/place/Val+Vista+Vision/data=!4m2!3m1!1s0x872bac71b9f748ff:0x2eb5a232bd5bf3f6
Woolf Eye Care Center,"1660 N Higley Rd Ste 101 Ste 101, Gilbert, AZ 85234, United States",33.3804646,-111.72287,https://www.google.com/maps/place/Woolf+Eye+Care+Center/data=!4m2!3m1!1s0x872baefd80e443f9:0x76dfa642b0e904d9
Neighborhood Vision Center,"1425 S Higley Rd #103, Gilbert, AZ 85296, United States",33.3247546,-111.7208316,https://www.google.com/maps/place/Neighborhood+Vision+Center/data=!4m2!3m1!1s0x872bac3171bee93b:0x4c71cd253a0b4981
Southwestern Eye Center,"5632 East 5th Street, Tucson, AZ 85711, United States",32.228744,-110.8716464,https://www.google.com/maps/place/Southwestern+Eye+Center/data=!4m2!3m1!1s0x872ba92bdff4ac3d:0x977337da77cf20df
"Chris A. Jaron, OD","12725 W Indian School Rd, Avondale, AZ 85392, United States",33.4921171,-112.3330523,"https://www.google.com/maps/place/Chris+A.+Jaron,+OD/data=!4m2!3m1!1s0x872b40b2bbd679fb:0x423335ab3b1cbd19"
Nevada Eye Care Optometry,"2090 E Flamingo Rd #101, Las Vegas, NV 89119, United States",36.1156403,-115.1241121,https://www.google.com/maps/place/Nevada+Eye+Care+Optometry/data=!4m2!3m1!1s0x80c8c4e22f300001:0xe7c676c7f3862b5
Advanced Vision & Achievement Center,"7552 N La Cholla Blvd, Tucson, AZ 85741, United States",32.3435528,-111.0117056,https://www.google.com/maps/place/Advanced+Vision+%26+Achievement+Center/data=!4m2!3m1!1s0x872b6c724110e307:0x8a46cedd9a2ef625
Sun State Eye Care,"13920 W Camino Del Sol # 6, Sun City West, AZ 85375, United States",33.6578067,-112.3613089,https://www.google.com/maps/place/Sun+State+Eye+Care/data=!4m2!3m1!1s0x872b5b5d85e072f3:0x7967b12eb7208a13
Eyemart Express,"4764 S Landing Way Ste 150, Tucson, AZ 85714, United States",32.1650793,-110.9879628,https://www.google.com/maps/place/Eyemart+Express/data=!4m2!3m1!1s0x86d66f880dff7021:0xb689c0ccc5e33f57
